CodeEtb,Etablissement,CodeFil,Filiere,Min1,Min2,Min3
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers BEJAIA,14.05,14.05,14.05
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers JIJEL,15.47,15.47,15.47
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers SETIF,15.36,15.36,15.36
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MILA,15.39,15.39,15.39
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers BEJAIA,16.04,16.04,16.04
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers JIJEL,16.99,16.99,16.99
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers SETIF,16.79,16.79,16.79
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers MSILA,16.03,16.03,16.03
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers B.B.ARRERIDJ,16.32,16.32,16.32
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers BATNA,15.08,15.08,15.08
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers BEJAIA,,,
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers SETIF,15.03,15.03,15.03
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers,14.83,14.83,14.83
,,,B.B.ARRERIDJ,,,
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers KHENCHLA,15.33,15.33,15.33
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers BATNA,15.3,15.3,15.3
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers BEJAIA,14.64,14.64,14.64
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers SETIF,15.52,15.52,15.52
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers B.B.ARRERIDJ,15.06,15.06,15.06
E42,ECOLE NORMALE SUPERIEURE DE SETIF,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers KHENCHLA,15.39,15.39,15.39
E42,ECOLE NORMALE SUPERIEURE DE SETIF,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers BATNA,15.07,15.07,15.07
E42,ECOLE NORMALE SUPERIEURE DE SETIF,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers BEJAIA,13.66,13.66,13.66
E42,ECOLE NORMALE SUPERIEURE DE SETIF,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers JIJEL,14.97,14.97,14.97
E42,ECOLE NORMALE SUPERIEURE DE SETIF,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers SETIF,14.92,14.92,14.92
E42,ECOLE NORMALE SUPERIEURE DE SETIF,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers MILA,15.53,15.53,15.53
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers BATNA,14.91,14.91,14.91
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers BEJAIA,14.04,14.04,14.04
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers SETIF,14.89,14.89,14.89
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers KHENCHLA,14.93,14.93,14.93
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PPL01,ARABE (P.E.P) -- pour bacheliers BEJAIA,13.01,13.01,13.01
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PPL01,ARABE (P.E.P) -- pour bacheliers JIJEL,15.34,15.34,15.34
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PPL01,ARABE (P.E.P) -- pour bacheliers SETIF,15.21,15.21,15.21
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PPL01,ARABE (P.E.P) -- pour bacheliers MILA,15.62,15.62,15.62
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers BATNA,15.92,15.92,15.92
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers BEJAIA,14.26,14.26,14.26
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers SETIF,15.7,15.7,15.7
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers B.B.ARRERIDJ,15.2,15.2,15.2
E42,ECOLE NORMALE SUPERIEURE DE SETIF,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers KHENCHLA,15.68,15.68,15.68
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TIARET,14.69,14.69,14.69
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers SAIDA,14.56,14.56,14.56
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers SIDIBEL-ABBES,14.02,14.02,14.02
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers MASCARA,15.05,15.05,15.05
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TIARET,15.63,15.63,15.63
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers SAIDA,14.49,14.49,14.49
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers SIDIBEL- ABBES,14.73,14.73,14.73
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers MASCARA,15.82,15.82,15.82
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TIARET,15.02,15.02,15.02
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers SAIDA,14.01,14.01,14.01
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers SIDIBEL-ABBES,14.7,14.7,14.7
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers MASCARA,15.2,15.2,15.2
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers TIARET,15.85,15.85,15.85
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers SAIDA,14.74,14.74,14.74
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers SIDIBEL-ABBES,15.46,15.46,15.46
U50,ECOLE NORMALE SUPERIEURE DE SAIDA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers MASCARA,16.22,16.22,16.22
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ADRAR,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers CHLEF,16.51,16.51,16.51
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers LAGHOUAT,16.18,16.18,16.18
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers OUM-EL-BOUAGHI,16.94,16.94,16.94
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BATNA,15.79,15.79,15.79
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BEJAIA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BISKRA,16.39,16.39,16.39
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BECHAR,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BLIDA,15.73,15.73,15.73
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BOUIRA,15.94,15.94,15.94
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TAMANRASSET,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TEBESSA,15.97,15.97,15.97
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TLEMCEN,14.69,14.69,14.69
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TIARET,15.78,15.78,15.78
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TIZI-OUZOU,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ALGER,14.5,14.5,14.5
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers DJELFA,16.75,16.75,16.75
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers JIJEL,15.48,15.48,15.48
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers SETIF,17.39,17.39,17.39
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers SAIDA,14.5,14.5,14.5
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers SKIKDA,16.76,16.76,16.76
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers SIDIBEL-ABBES,14.66,14.66,14.66
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ANNABA,15.65,15.65,15.65
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers GUELMA,15.8,15.8,15.8
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers CONSTANTINE,15.62,15.62,15.62
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers MEDEA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers MOSTAGANEM,16.14,16.14,16.14
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers MSILA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers MASCARA,15.92,15.92,15.92
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers OUARGLA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ORAN,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers EL BAYADH,16.36,16.36,16.36
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ILLIZI,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers B.B.ARRERIDJ,15.7,15.7,15.7
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BOUMERDES,15.41,15.41,15.41
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers ELTARF,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TINDOUF,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TISSEMSILT,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers EL OUED,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers KHENCHLA,16.74,16.74,16.74
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers SOUK-AHRAS,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TIPAZA,15.27,15.27,15.27
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers MILA,16.62,16.62,16.62
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers AIN-DEFLA,16.4,16.4,16.4
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers NAAMA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers AIN-TEMOUCHENT,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers GHARDAIA,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers RELIZANE,16.17,16.17,16.17
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers TIMIMOUN,,,
E30,ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T),A05PSN01,TECHNIQUE (P.E.S) OPTION : GENIE CIVIL -- pour bacheliers BORDJ BADJI MOKHTAR,,,
